displayName,guid,type
canUpgradeScript,"d9e18314-8939-11d1-aebc-0000f80367c1","AD Attribute"
canonicalName,"9a7ad945-ca53-11d1-bbd0-0080c76670c0","AD Attribute"
carLicense,"d4159c92-957d-4a87-8a67-8d2934e01649","AD Attribute"
catalogs,"7bfdcb81-4807-11d1-a9c3-0000f80367c1","AD Attribute"
categories,"7bfdcb7e-4807-11d1-a9c3-0000f80367c1","AD Attribute"
categoryId,"7d6c0e94-7e20-11d0-afd6-00c04fd930c9","AD Attribute"
certificateAuthorityObject,"963d2732-48be-11d1-a9c3-0000f80367c1","AD Attribute"
certificateRevocationList,"1677579f-47f3-11d1-a9c3-0000f80367c1","AD Attribute"
certificateTemplates,"2a39c5b1-8960-11d1-aebc-0000f80367c1","AD Attribute"
classDisplayName,"548e1c22-dea6-11d0-b010-0000f80367c1","AD Attribute"
codePage,"bf967938-0de6-11d0-a285-00aa003049e2","AD Attribute"
cOMClassID,"bf96793b-0de6-11d0-a285-00aa003049e2","AD Attribute"
cOMCLSID,"281416d9-1968-11d0-a28f-00aa003049e2","AD Attribute"
cOMInterfaceID,"bf96793c-0de6-11d0-a285-00aa003049e2","AD Attribute"
cOMOtherProgId,"281416dd-1968-11d0-a28f-00aa003049e2","AD Attribute"
cOMProgID,"bf96793d-0de6-11d0-a285-00aa003049e2","AD Attribute"
cOMTreatAsClassId,"281416db-1968-11d0-a28f-00aa003049e2","AD Attribute"
cOMTypelibId,"281416de-1968-11d0-a28f-00aa003049e2","AD Attribute"
cOMUniqueLIBID,"281416da-1968-11d0-a28f-00aa003049e2","AD Attribute"
info,"bf96793e-0de6-11d0-a285-00aa003049e2","AD Attribute"
cn,"bf96793f-0de6-11d0-a285-00aa003049e2","AD Attribute"
company,"f0f8ff88-1191-11d0-a060-00aa006c33ed","AD Attribute"
contentIndexingAllowed,"bf967943-0de6-11d0-a285-00aa003049e2","AD Attribute"
contextMenu,"4d8601ee-ac85-11d0-afe3-00c04fd930c9","AD Attribute"
controlAccessRights,"6da8a4fc-0e52-11d0-a286-00aa003049e2","AD Attribute"
cost,"bf967944-0de6-11d0-a285-00aa003049e2","AD Attribute"
countryCode,"5fd42471-1262-11d0-a060-00aa006c33ed","AD Attribute"
c,"bf967945-0de6-11d0-a285-00aa003049e2","AD Attribute"
createDialog,"2b09958a-8931-11d1-aebc-0000f80367c1","AD Attribute"
createTimeStamp,"2df90d73-009f-11d2-aa4c-00c04fd7d83a","AD Attribute"
createWizardExt,"2b09958b-8931-11d1-aebc-0000f80367c1","AD Attribute"
creationTime,"bf967946-0de6-11d0-a285-00aa003049e2","AD Attribute"
creationWizard,"4d8601ed-ac85-11d0-afe3-00c04fd930c9","AD Attribute"
creator,"7bfdcb85-4807-11d1-a9c3-0000f80367c1","AD Attribute"
cRLObject,"963d2737-48be-11d1-a9c3-0000f80367c1","AD Attribute"
cRLPartitionedRevocationList,"963d2731-48be-11d1-a9c3-0000f80367c1","AD Attribute"
crossCertificatePair,"167757b2-47f3-11d1-a9c3-0000f80367c1","AD Attribute"
currMachineId,"1f0075fe-7e40-11d0-afd6-00c04fd930c9","AD Attribute"
currentLocation,"1f0075fc-7e40-11d0-afd6-00c04fd930c9","AD Attribute"
currentParentCA,"963d273f-48be-11d1-a9c3-0000f80367c1","AD Attribute"
currentValue,"bf967947-0de6-11d0-a285-00aa003049e2","AD Attribute"
dBCSPwd,"bf96799c-0de6-11d0-a285-00aa003049e2","AD Attribute"
defaultClassStore,"bf967948-0de6-11d0-a285-00aa003049e2","AD Attribute"
defaultGroup,"720bc4e2-a54a-11d0-afdf-00c04fd930c9","AD Attribute"
defaultHidingValue,"b7b13116-b82e-11d0-afee-0000f80367c1","AD Attribute"
defaultLocalPolicyObject,"bf96799f-0de6-11d0-a285-00aa003049e2","AD Attribute"
defaultObjectCategory,"26d97367-6070-11d1-a9c6-0000f80367c1","AD Attribute"
defaultPriority,"281416c8-1968-11d0-a28f-00aa003049e2","AD Attribute"
defaultSecurityDescriptor,"807a6d30-1669-11d0-a064-00aa006c33ed","AD Attribute"
deltaRevocationList,"167757b5-47f3-11d1-a9c3-0000f80367c1","AD Attribute"
department,"bf96794f-0de6-11d0-a285-00aa003049e2","AD Attribute"
departmentNumber,"be9ef6ee-cbc7-4f22-b27b-96967e7ee585","AD Attribute"
description,"bf967950-0de6-11d0-a285-00aa003049e2","AD Attribute"
desktopProfile,"eea65906-8ac6-11d0-afda-00c04fd930c9","AD Attribute"
destinationIndicator,"bf967951-0de6-11d0-a285-00aa003049e2","AD Attribute"
dhcpClasses,"963d2750-48be-11d1-a9c3-0000f80367c1","AD Attribute"
dhcpFlags,"963d2741-48be-11d1-a9c3-0000f80367c1","AD Attribute"
dhcpIdentification,"963d2742-48be-11d1-a9c3-0000f80367c1","AD Attribute"
dhcpMask,"963d2747-48be-11d1-a9c3-0000f80367c1","AD Attribute"
dhcpMaxKey,"963d2754-48be-11d1-a9c3-0000f80367c1","AD Attribute"
dhcpObjDescription,"963d2744-48be-11d1-a9c3-0000f80367c1","AD Attribute"
dhcpObjName,"963d2743-48be-11d1-a9c3-0000f80367c1","AD Attribute"
dhcpOptions,"963d274f-48be-11d1-a9c3-0000f80367c1","AD Attribute"
dhcpProperties,"963d2753-48be-11d1-a9c3-0000f80367c1","AD Attribute"
dhcpRanges,"963d2748-48be-11d1-a9c3-0000f80367c1","AD Attribute"
