driver_name,driver_description,is_driver
*\NTIOLib_X64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\PhlashNT.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\Phymemx64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\UCOREW64.SYS,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\WinFlash64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\WinRing0x64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\dbk64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\mtcBSv64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\nvflash.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\nvflsh64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\phymem64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\rtkio64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\rtkiow10x64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\rtkiow8x64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\segwindrvx64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\superbmc.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\semav6msr.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\piddrv64.sys,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,TRUE
*\BS_I2cIo.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\rtkio.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\AMDRyzenMasterDriver.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\LHA.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\kEvP64.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\BSMI.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\TmComm.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\cpuz.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\iQVW64.SYS,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\vmdrv.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\HpPortIox64.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\AMDPowerProfiler.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\CorsairLLAccess64.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\RTCore64.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\libnicm.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\procexp.Sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\viragt.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\viragt64.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\AsrDrv106.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\zamguard64.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\zam64.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\fidpcidrv64.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\MsIo32.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\winio64.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\capcom.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\IOMap64.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\ATSZIO64.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\aswVmm.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\FairplayKD.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\pgldqpoc.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\iqvw64e.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\Monitor_win10_x64.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\srvnetbus.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\Mslo64.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\pcdsrvc_x64.pkms,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\krpocesshacker.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\HWiNFO64A.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\rzpnk.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\magdrvamd64.sys,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,TRUE
*\driver7-x64.sys,https://github.com/Chigusa0w0/AsusDriversPrivEscala,TRUE
*\driver7-x86-withoutdbg.sys,https://github.com/Chigusa0w0/AsusDriversPrivEscala,TRUE
*\driver7-x86.sys,https://github.com/Chigusa0w0/AsusDriversPrivEscala,TRUE
*\gmer.sys,https://raw.githubusercontent.com/SigmaHQ/sigma/master/rules/windows/driver_load/driver_load_vuln_drivers_names.yml,TRUE
*\PCADRVX64.sys,https://raw.githubusercontent.com/SigmaHQ/sigma/master/rules/windows/driver_load/driver_load_vuln_drivers_names.yml,TRUE
*\clfs.sys,https://raw.githubusercontent.com/SigmaHQ/sigma/master/rules/windows/driver_load/driver_load_vuln_drivers_names.yml,TRUE
*\ActiveHealth.sys,https://eclypsium.com/2019/11/12/mother-of-all-drivers/,TRUE
